PCE - Programa de Controle da Esquistossomose - Brasil
População trabalhadaExamesPositivos% Positividade1 a  4 ovos5 a 16 ovos17 ou mais ovosA tratarTratadosASC - Ascaris lumbricoidesANC - AncilostomídeosTAE - Taenia spTT - Trichuris trichiuraEV - Enterobius vermicularisSS - Strongyloides stercoralisHN - Hymenolepis nanaOUT - OutrosContra indicaçãoRecusaAusênciaCaramujos capturadosBiomphalaria glabrata capturadBiomphalaria straminea capturBiomphalaria tenagophila captBiomphalaria glabrata positivBiomphalaria straminea positivBiomphalaria tenagophila posit por Unidade da Federação
Período:2011
"Unidade da Federação";"População_trabalhada";"Exames";"Positivos";"%_Positividade";"1_a__4_ovos";"5_a_16_ovos";"17_ou_mais_ovos";"A_tratar";"Tratados";"ASC_-_Ascaris_lumbricoides";"ANC_-_Ancilostomídeos";"TAE_-_Taenia_sp";"TT_-_Trichuris_trichiura";"EV_-_Enterobius_vermicularis";"SS_-_Strongyloides_stercoralis";"HN_-_Hymenolepis_nana";"OUT_-_Outros";"Contra_indicação";"Recusa";"Ausência";"Caramujos_capturados";"Biomphalaria_glabrata_capturad";"Biomphalaria_straminea_captur";"Biomphalaria_tenagophila_capt";"Biomphalaria_glabrata_positiv";"Biomphalaria_straminea_positiv";"Biomphalaria_tenagophila_posit"
"15 Pará";27332;17779;448;2,52;336;88;24;448;448;1777;2197;10;1878;181;4;-;3;-;-;1;921;663;33;30;36;-;-
"21 Maranhão";107301;93640;3381;3,61;2625;670;86;3831;3313;17411;19072;220;4657;812;1083;17;183;462;1;77;1706;734;936;36;12;-;-
"23 Ceará";41080;29316;37;0,13;25;9;3;147;17;1043;576;19;564;33;-;22;7;110;-;20;-;-;-;-;-;-;-
"24 Rio Grande do Norte";48596;37267;1073;2,88;886;159;28;1073;1061;4000;1249;21;5424;11;2;-;2;11;1;-;634;377;232;-;-;-;-
"25 Paraíba";58523;47156;2411;5,11;1902;414;95;6624;4855;5304;6673;502;2075;87;30;6;1;955;161;654;-;-;-;-;-;-;-
"26 Pernambuco";140503;103880;7623;7,34;5488;1590;545;7952;6027;6851;1141;138;2116;163;26;40;102;570;15;1206;-;-;-;-;-;-;-
"27 Alagoas";256114;177655;13003;7,32;8966;3179;858;13147;8737;22008;16207;308;12743;733;22;409;32;462;8;3937;1410;889;37;4;85;-;-
"28 Sergipe";140579;100387;8534;8,50;5927;1936;671;8534;6419;13539;6346;516;10628;548;26;178;95;826;20;1319;2380;2342;23;-;150;1;-
"29 Bahia";288762;214837;7184;3,34;5597;1113;252;15039;6009;12720;628;211;6964;237;66;40;884;8480;6;363;-;-;-;-;-;-;-
"31 Minas Gerais";503520;371702;14339;3,86;10722;2756;861;21444;14047;14671;7758;759;2708;3156;153;956;652;10837;37;570;-;-;-;-;-;-;-
"32 Espírito Santo";100204;76171;1891;2,48;1475;342;74;1937;1282;3255;2488;40;244;2408;19;55;66;499;2;790;821;425;73;-;-;-;-
"33 Rio de Janeiro";905;657;12;1,83;12;-;-;905;11;60;97;-;7;3;-;-;7;894;-;-;-;-;-;-;-;-;-
"41 Paraná";155;112;4;3,57;-;4;-;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";1713574;1270559;59940;4,72;43961;12260;3497;81085;52230;102639;64432;2744;50008;8372;1431;1723;2034;24106;251;8937;7872;5430;1334;70;283;1;-
 Fonte: MS/SVS/GT PCE
 Nota: As informações são apresentadas somente para as Unidades da Federação endêmicas nos períodos em que foram realizados inquéritos pelo PCE.
