PCE - Programa de Controle da Esquistossomose - Brasil
População trabalhadaExamesPositivos% Positividade1 a  4 ovos5 a 16 ovos17 ou mais ovosA tratarTratadosASC - Ascaris lumbricoidesANC - AncilostomídeosTAE - Taenia spTT - Trichuris trichiuraEV - Enterobius vermicularisSS - Strongyloides stercoralisHN - Hymenolepis nanaOUT - OutrosContra indicaçãoRecusaAusênciaCaramujos capturadosBiomphalaria glabrata capturadBiomphalaria straminea capturBiomphalaria tenagophila captBiomphalaria glabrata positivBiomphalaria straminea positivBiomphalaria tenagophila posit por Unidade da Federação
Período:2014
"Unidade da Federação";"População_trabalhada";"Exames";"Positivos";"%_Positividade";"1_a__4_ovos";"5_a_16_ovos";"17_ou_mais_ovos";"A_tratar";"Tratados";"ASC_-_Ascaris_lumbricoides";"ANC_-_Ancilostomídeos";"TAE_-_Taenia_sp";"TT_-_Trichuris_trichiura";"EV_-_Enterobius_vermicularis";"SS_-_Strongyloides_stercoralis";"HN_-_Hymenolepis_nana";"OUT_-_Outros";"Contra_indicação";"Recusa";"Ausência";"Caramujos_capturados";"Biomphalaria_glabrata_capturad";"Biomphalaria_straminea_captur";"Biomphalaria_tenagophila_capt";"Biomphalaria_glabrata_positiv";"Biomphalaria_straminea_positiv";"Biomphalaria_tenagophila_posit"
"15 Pará";967;814;25;3,07;19;6;-;25;25;3;114;1;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-
"21 Maranhão";93455;82012;3139;3,83;2182;884;73;3140;2943;9013;9022;81;1794;514;124;2;-;102;-;90;1045;548;497;-;42;-;-
"23 Ceará";45550;26498;115;0,43;111;4;-;1305;108;1625;2271;27;338;72;7;112;1;72;1;1124;-;-;-;-;-;-;-
"24 Rio Grande do Norte";35823;25671;727;2,83;545;158;24;727;689;929;1349;39;1485;45;3;3;17;14;-;24;1592;-;1137;-;-;-;-
"25 Paraíba";28918;23616;2410;10,20;1815;438;157;3612;1163;1186;4177;133;1318;69;27;7;10;1568;9;881;-;-;-;-;-;-;-
"26 Pernambuco";359498;257248;8748;3,40;6508;1728;512;9271;7141;6600;1643;290;3227;196;93;211;574;477;11;1928;-;-;-;-;-;-;-
"27 Alagoas";241686;162633;9775;6,01;7304;1942;529;10731;6899;11353;11913;538;7160;448;17;302;63;203;2;4267;778;648;19;-;-;-;-
"28 Sergipe";58125;41311;2551;6,18;1811;542;198;2572;2103;2065;1638;13;2024;72;4;43;18;187;3;279;1257;1219;-;-;-;-;-
"29 Bahia";3333;2328;60;2,58;50;7;3;1412;50;16;6;-;3;3;1;-;-;1362;-;-;-;-;-;-;-;-;-
"31 Minas Gerais";218739;160420;4828;3,01;3679;864;285;6596;4308;3359;2378;367;995;1224;307;348;793;1462;10;799;53;39;-;-;-;-;-
"32 Espírito Santo";48815;38127;979;2,57;701;243;35;1041;771;435;807;10;81;164;5;10;33;220;-;53;-;-;-;-;-;-;-
"Total";1134909;820678;33357;4,06;24725;6816;1816;40432;26200;36584;35318;1499;18432;2809;588;1038;1509;5667;36;9445;4725;2454;1653;-;42;-;-
 Fonte: MS/SVS/GT PCE
 Nota: As informações são apresentadas somente para as Unidades da Federação endêmicas nos períodos em que foram realizados inquéritos pelo PCE.
