PCE - Programa de Controle da Esquistossomose - Brasil
População trabalhadaExamesPositivos% Positividade1 a  4 ovos5 a 16 ovos17 ou mais ovosA tratarTratadosASC - Ascaris lumbricoidesANC - AncilostomídeosTAE - Taenia spTT - Trichuris trichiuraEV - Enterobius vermicularisSS - Strongyloides stercoralisHN - Hymenolepis nanaOUT - OutrosContra indicaçãoRecusaAusênciaCaramujos capturadosBiomphalaria glabrata capturadBiomphalaria straminea capturBiomphalaria tenagophila captBiomphalaria glabrata positivBiomphalaria straminea positivBiomphalaria tenagophila posit por Unidade da Federação
Período:2004
"Unidade da Federação";"População_trabalhada";"Exames";"Positivos";"%_Positividade";"1_a__4_ovos";"5_a_16_ovos";"17_ou_mais_ovos";"A_tratar";"Tratados";"ASC_-_Ascaris_lumbricoides";"ANC_-_Ancilostomídeos";"TAE_-_Taenia_sp";"TT_-_Trichuris_trichiura";"EV_-_Enterobius_vermicularis";"SS_-_Strongyloides_stercoralis";"HN_-_Hymenolepis_nana";"OUT_-_Outros";"Contra_indicação";"Recusa";"Ausência";"Caramujos_capturados";"Biomphalaria_glabrata_capturad";"Biomphalaria_straminea_captur";"Biomphalaria_tenagophila_capt";"Biomphalaria_glabrata_positiv";"Biomphalaria_straminea_positiv";"Biomphalaria_tenagophila_posit"
"11 Rondônia";7669;7666;238;3,10;217;21;-;238;237;566;643;82;29;32;3;5;568;1;-;-;-;-;-;-;-;-;-
"15 Pará";66613;34342;233;0,68;161;51;21;233;219;7323;2591;279;6457;76;2;-;1;14;-;-;2486;1605;307;-;17;-;-
"21 Maranhão";148088;138045;5748;4,16;4295;1240;213;5848;5538;42466;29246;1076;11353;4263;634;330;2251;455;3;66;6049;4262;1752;-;380;-;-
"22 Piauí";2236;2236;-;-;-;-;-;-;-;4;31;50;3;3;2;10;-;-;-;-;1612;-;1601;-;-;19;-
"23 Ceará";68411;42150;322;0,76;283;30;7;342;310;7651;5325;94;3201;366;5;173;6;29;-;3;15376;-;15264;-;-;-;-
"24 Rio Grande do Norte";28300;22783;630;2,77;564;53;13;633;603;7974;2567;188;7489;27;1;2;5;26;-;8;4257;1539;1456;-;5;-;-
"25 Paraíba";136493;120999;5947;4,91;4795;958;194;16226;12975;20622;22326;1175;12605;482;18;56;7;1393;211;1650;418;310;-;13;4;-;-
"26 Pernambuco";38701;29434;3899;13,25;2720;845;334;4231;3296;6790;962;108;2034;42;18;10;665;503;15;418;-;-;-;-;-;-;-
"27 Alagoas";280154;204768;20937;10,22;14694;4934;1309;22456;18520;63647;37958;446;35386;862;17;1067;4;1673;39;2334;2752;1274;36;9;137;-;-
"28 Sergipe";120208;92252;9845;10,67;6756;2297;740;10847;7671;21760;5663;1191;830;19;15;11;1604;1877;13;2035;4474;3811;114;127;631;1;101
"29 Bahia";822548;624394;37819;6,06;3593;1133;321;38981;29268;79310;4503;1454;44058;1219;368;843;2939;1296;96;2536;198;-;-;-;-;-;-
"31 Minas Gerais";560967;435733;27004;6,20;18364;6129;2496;28074;25134;29259;17799;1194;6176;3430;161;737;1425;1616;69;1317;-;-;-;-;-;-;-
"32 Espírito Santo";150050;118415;4273;3,61;3330;703;198;4763;3755;6233;9111;128;1409;821;922;38;73;791;8;155;119;64;-;3;33;-;-
"33 Rio de Janeiro";8872;8239;105;1,27;43;-;32;105;93;509;299;15;180;43;4;2;236;2;4;6;91;-;-;91;-;-;91
"41 Paraná";33223;24115;223;0,92;150;51;21;227;224;1066;455;80;874;207;36;115;503;6;-;4;5381;1849;910;446;2;-;-
"42 Santa Catarina";4667;2882;2;0,07;-;1;1;2;2;31;2;2;-;-;-;-;3;-;-;-;704;-;-;580;-;-;-
"52 Goiás";5864;4109;27;0,66;26;1;-;27;27;20;7;1;8;9;-;1;-;-;-;-;-;-;-;-;-;-;-
"Total";2483064;1912562;117252;6,13;59991;18447;5900;133233;107872;295231;139488;7563;132092;11901;2206;3400;10290;9682;458;10532;43917;14714;21440;1269;1209;20;192
 Fonte: MS/SVS/GT PCE
 Nota: As informações são apresentadas somente para as Unidades da Federação endêmicas nos períodos em que foram realizados inquéritos pelo PCE.
