PCE - Programa de Controle da Esquistossomose - Brasil
População trabalhadaExamesPositivos% Positividade1 a  4 ovos5 a 16 ovos17 ou mais ovosA tratarTratadosASC - Ascaris lumbricoidesANC - AncilostomídeosTAE - Taenia spTT - Trichuris trichiuraEV - Enterobius vermicularisSS - Strongyloides stercoralisHN - Hymenolepis nanaOUT - OutrosContra indicaçãoRecusaAusênciaCaramujos capturadosBiomphalaria glabrata capturadBiomphalaria straminea capturBiomphalaria tenagophila captBiomphalaria glabrata positivBiomphalaria straminea positivBiomphalaria tenagophila posit por Unidade da Federação
Período:2012
"Unidade da Federação";"População_trabalhada";"Exames";"Positivos";"%_Positividade";"1_a__4_ovos";"5_a_16_ovos";"17_ou_mais_ovos";"A_tratar";"Tratados";"ASC_-_Ascaris_lumbricoides";"ANC_-_Ancilostomídeos";"TAE_-_Taenia_sp";"TT_-_Trichuris_trichiura";"EV_-_Enterobius_vermicularis";"SS_-_Strongyloides_stercoralis";"HN_-_Hymenolepis_nana";"OUT_-_Outros";"Contra_indicação";"Recusa";"Ausência";"Caramujos_capturados";"Biomphalaria_glabrata_capturad";"Biomphalaria_straminea_captur";"Biomphalaria_tenagophila_capt";"Biomphalaria_glabrata_positiv";"Biomphalaria_straminea_positiv";"Biomphalaria_tenagophila_posit"
"15 Pará";8472;6316;167;2,64;128;26;13;446;168;333;1790;1;435;42;-;-;1;278;-;-;-;-;-;-;-;-;-
"21 Maranhão";85192;77444;2491;3,22;1813;600;78;2491;2435;9963;10537;168;3438;644;1197;13;199;35;-;21;279;69;180;-;6;-;-
"23 Ceará";53056;32798;44;0,13;38;3;3;44;43;1192;699;21;325;23;4;69;10;1;-;-;-;-;-;-;-;-;-
"24 Rio Grande do Norte";28615;22295;837;3,75;518;110;209;837;809;2788;858;19;3084;78;-;-;-;24;-;4;275;-;-;-;-;-;-
"25 Paraíba";51009;37306;2074;5,56;1616;358;100;3724;1657;3052;6825;624;1882;98;51;8;-;486;48;1549;-;-;-;-;-;-;-
"26 Pernambuco";133990;94384;5336;5,65;3815;1162;359;5339;4300;5054;1225;286;2224;264;174;138;337;211;9;947;946;32;-;-;-;-;-
"27 Alagoas";243005;166798;11384;6,83;8034;2662;688;11401;6797;21208;14148;348;12278;818;19;374;17;279;6;4372;755;583;-;-;-;-;-
"28 Sergipe";23253;18070;1767;9,78;1173;470;124;2055;1368;2431;748;147;1792;108;3;20;1;118;2;567;699;682;-;-;-;-;-
"29 Bahia";178892;128832;4939;3,83;3516;862;367;10470;3819;7072;329;121;3256;74;31;7;210;7490;15;219;-;-;-;-;-;-;-
"31 Minas Gerais";343216;251172;8323;3,31;6114;1679;530;17912;7179;8029;5009;450;1483;1856;285;625;532;9630;27;770;114;83;-;-;-;-;-
"32 Espírito Santo";74459;60117;1461;2,43;1083;325;53;1487;1025;817;1842;24;136;722;15;8;34;387;4;71;797;386;349;-;-;-;-
"Total";1223159;895532;38823;4,34;27848;8257;2524;56206;29600;61939;44010;2209;30333;4727;1779;1262;1341;18939;111;8520;3865;1835;529;-;6;-;-
 Fonte: MS/SVS/GT PCE
 Nota: As informações são apresentadas somente para as Unidades da Federação endêmicas nos períodos em que foram realizados inquéritos pelo PCE.
