PCE - Programa de Controle da Esquistossomose - Brasil
População trabalhadaExamesPositivos% Positividade1 a  4 ovos5 a 16 ovos17 ou mais ovosA tratarTratadosASC - Ascaris lumbricoidesANC - AncilostomídeosTAE - Taenia spTT - Trichuris trichiuraEV - Enterobius vermicularisSS - Strongyloides stercoralisHN - Hymenolepis nanaOUT - OutrosContra indicaçãoRecusaAusênciaCaramujos capturadosBiomphalaria glabrata capturadBiomphalaria straminea capturBiomphalaria tenagophila captBiomphalaria glabrata positivBiomphalaria straminea positivBiomphalaria tenagophila posit por Unidade da Federação
Período:2001
"Unidade da Federação";"População_trabalhada";"Exames";"Positivos";"%_Positividade";"1_a__4_ovos";"5_a_16_ovos";"17_ou_mais_ovos";"A_tratar";"Tratados";"ASC_-_Ascaris_lumbricoides";"ANC_-_Ancilostomídeos";"TAE_-_Taenia_sp";"TT_-_Trichuris_trichiura";"EV_-_Enterobius_vermicularis";"SS_-_Strongyloides_stercoralis";"HN_-_Hymenolepis_nana";"OUT_-_Outros";"Contra_indicação";"Recusa";"Ausência";"Caramujos_capturados";"Biomphalaria_glabrata_capturad";"Biomphalaria_straminea_captur";"Biomphalaria_tenagophila_capt";"Biomphalaria_glabrata_positiv";"Biomphalaria_straminea_positiv";"Biomphalaria_tenagophila_posit"
"11 Rondônia";384;384;363;94,53;362;1;-;363;363;276;196;91;27;2;3;-;5;-;-;-;-;-;-;-;-;-;-
"15 Pará";173393;96288;650;0,68;528;102;20;650;622;19153;13404;46;12611;582;11;19;-;8;2;18;-;-;-;-;-;-;-
"21 Maranhão";56576;53227;3857;7,25;2541;1144;172;3874;3519;30895;22156;236;7997;355;32;32;796;188;3;67;-;-;-;-;-;-;-
"22 Piauí";8260;8257;-;-;-;-;-;-;-;200;404;21;24;57;1;3;5;-;-;-;-;-;-;-;-;-;-
"23 Ceará";145121;103526;1084;1,05;972;89;23;1084;948;17494;21037;725;5874;699;87;460;4;52;-;24;-;-;-;-;-;-;-
"24 Rio Grande do Norte";5923;5156;37;0,72;31;5;1;37;35;1080;586;11;1237;7;1;-;-;-;-;-;-;-;-;-;-;-;-
"25 Paraíba";130173;117430;5903;5,03;4636;998;269;15132;11962;21877;22163;176;12014;372;6;33;7;1537;143;1312;357;-;-;-;-;-;-
"26 Pernambuco";10589;7644;1942;25,41;-;-;2;2055;1532;515;223;5;520;14;3;1;-;259;19;245;-;-;-;-;-;-;-
"27 Alagoas";142141;107752;17742;16,47;12266;4249;1227;18122;14846;35642;23521;345;23475;378;37;1084;1;1263;23;1867;8068;1506;-;-;202;-;-
"28 Sergipe";65748;55299;6575;11,89;2838;1139;337;7326;5393;17948;3230;411;2922;819;91;199;685;1429;20;671;260;260;-;-;38;-;-
"29 Bahia";437599;354113;21522;6,08;11547;4599;1460;23297;19655;47688;3439;1455;22527;1061;22;275;3262;913;61;975;-;-;-;-;-;-;-
"31 Minas Gerais";339599;261204;22545;8,63;14353;5457;2733;23752;20800;22530;12642;1702;7120;957;143;569;814;1026;50;1419;1;1;-;-;-;-;-
"32 Espírito Santo";53123;41598;1992;4,79;1458;380;154;1992;1840;3415;4003;94;20;28;-;3;42;99;5;48;-;-;-;-;-;-;-
"33 Rio de Janeiro";22;21;-;-;-;-;-;22;-;-;2;-;-;-;-;-;1;22;-;-;-;-;-;-;-;-;-
"35 São Paulo";5674;5674;525;9,25;-;-;-;525;491;-;-;-;-;-;-;-;-;-;-;-;36568;113;1615;28601;-;-;216
"41 Paraná";-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1829;1598;20;-;14;-;-
"42 Santa Catarina";1031;867;5;0,58;3;1;1;5;5;73;30;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"53 Distrito Federal";285;255;86;33,73;52;33;1;86;86;2;13;-;5;-;1;5;7;-;-;-;-;-;-;-;-;-;-
"Total";1575641;1218695;84828;6,96;51587;18197;6400;98322;82097;218788;127049;5320;96373;5331;438;2683;5629;6796;326;6646;47083;3478;1635;28601;254;-;216
 Fonte: MS/SVS/GT PCE
 Nota: As informações são apresentadas somente para as Unidades da Federação endêmicas nos períodos em que foram realizados inquéritos pelo PCE.
