PCE - Programa de Controle da Esquistossomose - Brasil
População trabalhadaExamesPositivos% Positividade1 a  4 ovos5 a 16 ovos17 ou mais ovosA tratarTratadosASC - Ascaris lumbricoidesANC - AncilostomídeosTAE - Taenia spTT - Trichuris trichiuraEV - Enterobius vermicularisSS - Strongyloides stercoralisHN - Hymenolepis nanaOUT - OutrosContra indicaçãoRecusaAusênciaCaramujos capturadosBiomphalaria glabrata capturadBiomphalaria straminea capturBiomphalaria tenagophila captBiomphalaria glabrata positivBiomphalaria straminea positivBiomphalaria tenagophila posit por Unidade da Federação
Período:2010
"Unidade da Federação";"População_trabalhada";"Exames";"Positivos";"%_Positividade";"1_a__4_ovos";"5_a_16_ovos";"17_ou_mais_ovos";"A_tratar";"Tratados";"ASC_-_Ascaris_lumbricoides";"ANC_-_Ancilostomídeos";"TAE_-_Taenia_sp";"TT_-_Trichuris_trichiura";"EV_-_Enterobius_vermicularis";"SS_-_Strongyloides_stercoralis";"HN_-_Hymenolepis_nana";"OUT_-_Outros";"Contra_indicação";"Recusa";"Ausência";"Caramujos_capturados";"Biomphalaria_glabrata_capturad";"Biomphalaria_straminea_captur";"Biomphalaria_tenagophila_capt";"Biomphalaria_glabrata_positiv";"Biomphalaria_straminea_positiv";"Biomphalaria_tenagophila_posit"
"15 Pará";17663;12919;164;1,27;103;41;20;164;162;1085;2573;32;665;65;1;-;-;2;-;-;801;691;15;-;32;-;-
"21 Maranhão";117220;102260;5083;4,97;3675;1254;154;5085;5019;23025;21379;372;4908;1275;1279;29;172;42;2;24;1514;460;820;-;49;-;-
"22 Piauí";2189;2189;1;0,05;1;-;-;1;1;-;-;1;-;4;2;-;1;-;-;-;35804;123;32300;-;-;1;-
"23 Ceará";63837;41497;121;0,29;105;11;5;2854;98;2178;2479;47;574;84;-;29;11;22;1;-;-;-;-;-;-;-;-
"24 Rio Grande do Norte";124981;104628;2829;2,70;2571;237;21;2829;2739;15693;5044;188;7240;11;1;1;22;81;3;6;778;513;208;-;-;-;-
"25 Paraíba";49583;41398;2053;4,96;1642;326;85;6485;4766;4730;5702;578;1920;48;-;7;3;1209;129;383;13;-;-;-;-;-;-
"26 Pernambuco";137363;98561;8186;8,31;5594;1898;694;10185;6500;7151;805;180;2999;71;40;48;401;2648;22;1207;2003;16;734;-;-;-;-
"27 Alagoas";260134;180994;13283;7,34;9103;3249;931;13306;9239;27005;17648;982;15222;716;49;432;9;752;8;3307;1500;552;1;-;68;1;-
"28 Sergipe";125862;91719;8844;9,64;6042;2141;661;9367;6006;15083;6886;425;10926;596;14;91;1240;1882;136;1357;7010;6627;-;-;30;-;-
"29 Bahia";342195;251217;10437;4,15;7841;1689;458;19095;8507;12798;709;148;5936;195;12;32;657;11759;15;544;115;-;-;-;-;-;-
"31 Minas Gerais";500919;367363;16276;4,43;11481;3516;1279;27771;16865;14414;7683;643;3142;2575;178;1278;694;10421;55;1027;-;-;-;-;-;-;-
"32 Espírito Santo";106297;87513;2103;2,40;1637;355;111;2103;1757;4038;2705;58;256;992;53;4;81;1550;-;126;1083;372;41;504;-;-;504
"33 Rio de Janeiro";2735;2164;5;0,23;5;-;-;2185;130;85;106;2;10;97;5;-;10;2054;1;-;-;-;-;-;-;-;-
"41 Paraná";2221;1507;33;2,19;24;6;3;161;30;16;4;-;11;9;-;1;111;131;-;-;-;-;-;-;-;-;-
"Total";1853199;1385929;69418;5,01;49824;14723;4422;101591;61819;127301;73723;3656;53809;6738;1634;1952;3412;32553;372;7981;50621;9354;34119;504;179;2;504
 Fonte: MS/SVS/GT PCE
 Nota: As informações são apresentadas somente para as Unidades da Federação endêmicas nos períodos em que foram realizados inquéritos pelo PCE.
