PCE - Programa de Controle da Esquistossomose - Brasil
População trabalhadaExamesPositivos% Positividade1 a  4 ovos5 a 16 ovos17 ou mais ovosA tratarTratadosASC - Ascaris lumbricoidesANC - AncilostomídeosTAE - Taenia spTT - Trichuris trichiuraEV - Enterobius vermicularisSS - Strongyloides stercoralisHN - Hymenolepis nanaOUT - OutrosContra indicaçãoRecusaAusênciaCaramujos capturadosBiomphalaria glabrata capturadBiomphalaria straminea capturBiomphalaria tenagophila captBiomphalaria glabrata positivBiomphalaria straminea positivBiomphalaria tenagophila posit por Unidade da Federação
Período:2009
"Unidade da Federação";"População_trabalhada";"Exames";"Positivos";"%_Positividade";"1_a__4_ovos";"5_a_16_ovos";"17_ou_mais_ovos";"A_tratar";"Tratados";"ASC_-_Ascaris_lumbricoides";"ANC_-_Ancilostomídeos";"TAE_-_Taenia_sp";"TT_-_Trichuris_trichiura";"EV_-_Enterobius_vermicularis";"SS_-_Strongyloides_stercoralis";"HN_-_Hymenolepis_nana";"OUT_-_Outros";"Contra_indicação";"Recusa";"Ausência";"Caramujos_capturados";"Biomphalaria_glabrata_capturad";"Biomphalaria_straminea_captur";"Biomphalaria_tenagophila_capt";"Biomphalaria_glabrata_positiv";"Biomphalaria_straminea_positiv";"Biomphalaria_tenagophila_posit"
"15 Pará";32446;22464;332;1,48;255;55;22;394;326;3111;2687;30;1989;100;1;2;9;6;-;-;-;-;-;-;-;-;-
"21 Maranhão";129163;111879;5200;4,65;3895;1209;96;5224;5050;27042;29719;495;5720;1775;1083;62;462;131;2;42;80;80;-;-;2;-;-
"22 Piauí";-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69320;124;65721;-;-;26;-
"23 Ceará";91568;53925;139;0,26;126;11;2;305;136;4131;3412;66;1048;134;6;89;26;1;-;168;-;-;-;-;-;-;-
"24 Rio Grande do Norte";47675;39866;1807;4,53;1665;129;13;1807;1589;7763;2402;254;6790;22;1;-;1;11;-;207;439;400;39;-;-;-;-
"25 Paraíba";86519;73146;4886;6,68;3909;747;230;13562;9908;9816;10534;679;4360;218;23;10;10;1908;303;1446;23;-;-;-;-;-;-
"26 Pernambuco";128339;96485;8718;9,04;5697;2063;958;8789;6991;8946;946;131;3166;139;98;30;809;769;27;1063;269;-;-;-;-;-;-
"27 Alagoas";259425;185538;16321;8,80;10472;4299;1550;16593;13854;32629;23626;685;15420;1311;33;540;5;1042;31;1688;1311;621;34;-;35;-;-
"28 Sergipe";127144;92957;8199;8,82;5746;2011;442;9594;5015;15504;5767;657;9689;506;30;123;20;2836;68;1617;4207;3972;-;-;197;-;-
"29 Bahia";400986;292703;10842;3,70;7972;1862;464;22555;8770;16302;1023;182;7022;172;15;41;845;12648;40;1276;133;-;-;-;-;-;-
"31 Minas Gerais";572343;427374;17098;4,00;12282;3626;1190;23640;16303;16367;9180;775;3773;3188;80;1017;929;7325;69;856;-;-;-;-;-;-;-
"32 Espírito Santo";108433;74601;2898;3,88;2496;320;82;3315;2405;3884;3359;102;389;1246;76;10;120;609;2;310;1426;313;341;12;-;-;-
"33 Rio de Janeiro";459;348;13;3,74;2;-;11;225;66;43;28;15;18;40;16;15;-;1;-;86;-;-;-;-;-;-;-
"41 Paraná";5448;4373;266;6,08;214;29;23;266;264;40;19;3;41;9;-;6;145;2;-;-;-;-;-;-;-;-;-
"Total";1989948;1475659;76719;5,20;54731;16361;5083;106269;70677;145578;92702;4074;59425;8860;1462;1945;3381;27289;542;8759;77208;5510;66135;12;234;26;-
 Fonte: MS/SVS/GT PCE
 Nota: As informações são apresentadas somente para as Unidades da Federação endêmicas nos períodos em que foram realizados inquéritos pelo PCE.
