PCE - Programa de Controle da Esquistossomose - Brasil
População trabalhadaExamesPositivos% Positividade1 a  4 ovos5 a 16 ovos17 ou mais ovosA tratarTratadosASC - Ascaris lumbricoidesANC - AncilostomídeosTAE - Taenia spTT - Trichuris trichiuraEV - Enterobius vermicularisSS - Strongyloides stercoralisHN - Hymenolepis nanaOUT - OutrosContra indicaçãoRecusaAusênciaCaramujos capturadosBiomphalaria glabrata capturadBiomphalaria straminea capturBiomphalaria tenagophila captBiomphalaria glabrata positivBiomphalaria straminea positivBiomphalaria tenagophila posit por Unidade da Federação
Período:2003
"Unidade da Federação";"População_trabalhada";"Exames";"Positivos";"%_Positividade";"1_a__4_ovos";"5_a_16_ovos";"17_ou_mais_ovos";"A_tratar";"Tratados";"ASC_-_Ascaris_lumbricoides";"ANC_-_Ancilostomídeos";"TAE_-_Taenia_sp";"TT_-_Trichuris_trichiura";"EV_-_Enterobius_vermicularis";"SS_-_Strongyloides_stercoralis";"HN_-_Hymenolepis_nana";"OUT_-_Outros";"Contra_indicação";"Recusa";"Ausência";"Caramujos_capturados";"Biomphalaria_glabrata_capturad";"Biomphalaria_straminea_captur";"Biomphalaria_tenagophila_capt";"Biomphalaria_glabrata_positiv";"Biomphalaria_straminea_positiv";"Biomphalaria_tenagophila_posit"
"11 Rondônia";4144;4144;128;3,09;121;4;3;165;127;471;417;43;19;14;15;5;218;-;-;-;-;-;-;-;-;-;-
"15 Pará";74680;42415;317;0,75;230;68;19;473;303;10506;3089;29;9070;85;2;4;4;16;-;1;1788;1062;510;-;20;-;-
"21 Maranhão";137974;128186;5404;4,22;3944;1269;175;5746;5251;42374;29538;553;11028;3876;187;152;1576;303;1;617;119;1;-;-;-;-;-
"22 Piauí";627;627;-;-;-;-;-;-;-;-;-;1;2;1;1;1;-;-;-;-;613;-;479;73;-;-;-
"23 Ceará";73164;48150;408;0,85;357;39;12;408;368;7913;5768;107;2840;321;5;281;2;28;5;4;6591;-;6591;-;-;-;-
"24 Rio Grande do Norte";37018;29170;1408;4,83;1213;171;22;1408;1352;12111;5280;19;11137;64;-;1;2;18;1;37;6865;991;5820;-;3;-;-
"25 Paraíba";156503;139516;7513;5,39;5997;1214;302;19736;15805;29759;28041;4493;12729;764;17;52;7;1777;279;2054;279;-;-;-;-;-;-
"26 Pernambuco";40194;32059;5307;16,55;3178;1187;459;5743;4262;8152;1120;60;1605;46;36;81;1380;737;43;700;-;-;-;-;-;-;-
"27 Alagoas";300373;224325;29701;13,24;20456;7081;2164;33324;25554;76545;47955;717;43646;725;22;1476;4;3545;40;3606;3846;469;-;-;26;-;-
"28 Sergipe";118499;95054;9074;9,55;6423;2094;474;11511;7219;26626;9362;1948;532;46;37;21;1683;3004;6;1280;832;730;71;16;34;44;11
"29 Bahia";924817;717730;43685;6,09;8368;2632;891;50893;40159;102359;6976;912;42533;1715;198;980;4467;4350;109;3401;1379;-;-;-;-;-;-
"31 Minas Gerais";545681;421948;29794;7,06;20124;6602;3066;31484;26721;32268;17092;1222;8401;2617;91;574;1631;1670;134;2027;-;-;-;-;-;-;-
"32 Espírito Santo";107337;86177;3496;4,06;2674;604;218;3627;3338;4991;9342;62;201;120;143;2;51;180;18;88;-;-;-;-;-;-;-
"33 Rio de Janeiro";13178;10580;162;1,53;79;6;62;245;171;783;435;25;302;45;-;-;316;68;1;5;790;-;-;790;-;-;-
"41 Paraná";30988;22280;316;1,42;183;90;43;372;306;1238;321;29;1001;197;13;118;126;8;-;-;12164;7251;828;915;98;-;-
"42 Santa Catarina";4638;3152;7;0,22;6;-;1;7;7;160;18;5;-;-;-;-;17;-;-;-;2058;-;-;2058;-;-;-
"52 Goiás";33;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2185;-;899;-;-;17;-
"53 Distrito Federal";187;163;47;28,83;33;14;-;47;45;2;2;1;-;-;1;-;19;2;-;-;-;-;-;-;-;-;-
"Total";2570035;2005708;136767;6,82;73386;23075;7911;165189;130988;356258;164756;10226;145046;10636;768;3748;11503;15706;637;13820;39509;10504;15198;3852;181;61;11
 Fonte: MS/SVS/GT PCE
 Nota: As informações são apresentadas somente para as Unidades da Federação endêmicas nos períodos em que foram realizados inquéritos pelo PCE.
