PCE - Programa de Controle da Esquistossomose - Brasil
População trabalhadaExamesPositivos% Positividade1 a  4 ovos5 a 16 ovos17 ou mais ovosA tratarTratadosASC - Ascaris lumbricoidesANC - AncilostomídeosTAE - Taenia spTT - Trichuris trichiuraEV - Enterobius vermicularisSS - Strongyloides stercoralisHN - Hymenolepis nanaOUT - OutrosContra indicaçãoRecusaAusênciaCaramujos capturadosBiomphalaria glabrata capturadBiomphalaria straminea capturBiomphalaria tenagophila captBiomphalaria glabrata positivBiomphalaria straminea positivBiomphalaria tenagophila posit por Unidade da Federação
Período:1997
"Unidade da Federação";"População_trabalhada";"Exames";"Positivos";"%_Positividade";"1_a__4_ovos";"5_a_16_ovos";"17_ou_mais_ovos";"A_tratar";"Tratados";"ASC_-_Ascaris_lumbricoides";"ANC_-_Ancilostomídeos";"TAE_-_Taenia_sp";"TT_-_Trichuris_trichiura";"EV_-_Enterobius_vermicularis";"SS_-_Strongyloides_stercoralis";"HN_-_Hymenolepis_nana";"OUT_-_Outros";"Contra_indicação";"Recusa";"Ausência";"Caramujos_capturados";"Biomphalaria_glabrata_capturad";"Biomphalaria_straminea_captur";"Biomphalaria_tenagophila_capt";"Biomphalaria_glabrata_positiv";"Biomphalaria_straminea_positiv";"Biomphalaria_tenagophila_posit"
"11 Rondônia";7;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"15 Pará";234943;146934;1716;1,17;1494;203;19;1716;1704;42772;30783;88;-;-;-;-;1659;6;6;-;-;-;-;-;-;-;-
"21 Maranhão";45263;43680;3144;7,20;2232;755;157;3144;2886;28607;17738;36;-;-;-;-;1310;82;3;173;3167;2857;158;-;532;17;-
"22 Piauí";12846;12846;5;0,04;5;-;-;5;5;766;143;47;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-
"23 Ceará";136291;99125;2525;2,55;2152;281;92;2525;2260;33205;25348;296;-;-;-;-;2092;164;2;99;-;-;-;-;-;-;-
"24 Rio Grande do Norte";35089;31755;2634;8,29;2323;285;26;2634;2387;12092;1316;5;-;-;-;-;1005;118;1;128;-;-;-;-;-;-;-
"25 Paraíba";108907;102391;10319;10,08;7694;2022;603;20453;17531;30256;27621;149;-;-;-;-;2965;1484;39;1401;281;-;-;-;-;-;-
"27 Alagoas";232077;213686;44858;20,99;29829;11536;3493;47625;39848;110392;51691;4328;-;-;-;-;4191;2726;42;5040;17471;10604;3415;-;104;4;-
"28 Sergipe";35015;30827;5961;19,34;2570;2693;698;6376;5313;14443;3520;13;-;-;-;-;9090;485;6;572;-;-;-;-;-;-;-
"29 Bahia";7398;6631;314;4,74;231;69;14;314;304;189;181;41;-;-;-;-;4;4;-;6;-;-;-;-;-;-;-
"31 Minas Gerais";278636;233070;20161;8,65;12364;5058;2739;20841;18135;28210;11240;1487;1217;155;-;119;1503;991;99;1613;340;282;-;-;4;-;-
"32 Espírito Santo";28206;24106;2461;10,21;1823;515;123;2537;2173;2982;5090;46;-;-;-;-;511;227;12;62;-;-;-;-;-;-;-
"33 Rio de Janeiro";7006;7006;68;0,97;-;-;-;68;66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"35 São Paulo";21311;21311;7745;36,34;-;-;-;7745;3593;-;-;-;-;-;-;-;-;-;-;-;81817;4980;2400;69298;-;-;343
"41 Paraná";4720;4713;8;0,17;3;4;1;8;7;631;475;14;-;-;-;-;86;-;-;-;1852;8;12;-;-;-;-
"52 Goiás";1083;1083;-;-;-;-;-;-;-;43;1;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-
"53 Distrito Federal";973;897;216;24,08;143;50;23;216;203;66;88;4;-;-;-;-;22;13;-;-;-;-;-;-;-;-;-
"Total";1189771;980068;102135;10,42;62863;23471;7988;116207;96415;304654;175235;6554;1217;155;-;119;24507;6300;210;9094;104928;18731;5985;69298;640;21;343
 Fonte: MS/SVS/GT PCE
 Nota: As informações são apresentadas somente para as Unidades da Federação endêmicas nos períodos em que foram realizados inquéritos pelo PCE.
