PCE - Programa de Controle da Esquistossomose - Brasil
População trabalhadaExamesPositivos% Positividade1 a  4 ovos5 a 16 ovos17 ou mais ovosA tratarTratadosASC - Ascaris lumbricoidesANC - AncilostomídeosTAE - Taenia spTT - Trichuris trichiuraEV - Enterobius vermicularisSS - Strongyloides stercoralisHN - Hymenolepis nanaOUT - OutrosContra indicaçãoRecusaAusênciaCaramujos capturadosBiomphalaria glabrata capturadBiomphalaria straminea capturBiomphalaria tenagophila captBiomphalaria glabrata positivBiomphalaria straminea positivBiomphalaria tenagophila posit por Unidade da Federação
Período:2007
"Unidade da Federação";"População_trabalhada";"Exames";"Positivos";"%_Positividade";"1_a__4_ovos";"5_a_16_ovos";"17_ou_mais_ovos";"A_tratar";"Tratados";"ASC_-_Ascaris_lumbricoides";"ANC_-_Ancilostomídeos";"TAE_-_Taenia_sp";"TT_-_Trichuris_trichiura";"EV_-_Enterobius_vermicularis";"SS_-_Strongyloides_stercoralis";"HN_-_Hymenolepis_nana";"OUT_-_Outros";"Contra_indicação";"Recusa";"Ausência";"Caramujos_capturados";"Biomphalaria_glabrata_capturad";"Biomphalaria_straminea_captur";"Biomphalaria_tenagophila_capt";"Biomphalaria_glabrata_positiv";"Biomphalaria_straminea_positiv";"Biomphalaria_tenagophila_posit"
"11 Rondônia";4496;4494;21;0,47;19;2;-;32;22;135;148;9;-;1;-;-;320;-;-;-;-;-;-;-;-;-;-
"15 Pará";27530;20247;405;2,00;335;58;12;405;395;1907;5880;45;1422;68;1;9;2;9;-;1;1504;1024;214;18;14;-;-
"21 Maranhão";151137;134078;5363;4,00;3967;1301;95;6696;5235;34964;31972;789;7134;3329;1652;142;1243;768;1;692;2864;1437;1427;-;33;-;-
"22 Piauí";6876;6841;4;0,06;4;-;-;508;4;223;76;6;3;20;-;16;-;484;-;20;31376;34;30059;-;-;67;-
"23 Ceará";102166;62040;211;0,34;174;25;12;373;375;5633;4810;79;2193;254;4;127;3;3;-;29;1906;-;749;-;-;-;-
"24 Rio Grande do Norte";76311;61663;2326;3,77;1921;364;41;2326;2121;11101;2420;87;9200;50;-;36;8;53;-;152;4090;985;1575;-;-;-;-
"25 Paraíba";105156;93014;4992;5,37;3959;827;206;14175;10944;11570;19150;2934;5673;164;53;21;5;1475;199;1555;51;3;-;-;3;-;-
"26 Pernambuco";163254;124070;12789;10,31;8561;2952;1276;12968;10093;12621;574;95;5752;84;34;29;163;1328;45;1505;344;112;-;10;6;-;-
"27 Alagoas";292102;216903;17597;8,11;12641;3898;1058;18282;15298;44510;31828;1710;16445;659;63;721;-;988;31;1981;781;138;100;-;85;26;-
"28 Sergipe";165958;131235;13677;10,42;9265;3426;986;14432;10621;25311;7443;1895;18800;558;77;275;181;2465;20;2327;4849;4460;27;-;622;2;-
"29 Bahia";541123;405405;17216;4,25;12733;3137;815;28216;14192;49000;1308;577;14876;307;37;83;1993;12919;53;856;345;-;-;-;-;-;-
"31 Minas Gerais";725667;552310;24742;4,48;17501;5316;1925;31241;22732;28824;15024;1696;4336;4449;144;1056;1138;4807;1692;1422;-;-;-;-;-;-;-
"32 Espírito Santo";130720;101282;3475;3,43;2608;653;214;4898;2618;5700;4939;307;564;1157;324;53;311;1993;5;285;2923;622;1901;91;31;-;7
"33 Rio de Janeiro";2699;1962;6;0,31;6;-;-;6;6;62;11;-;10;10;16;-;105;-;-;-;-;-;-;-;-;-;-
"41 Paraná";27774;18933;255;1,35;176;52;27;449;248;259;94;22;390;83;2;63;635;156;-;-;3278;626;261;366;4;-;-
"42 Santa Catarina";1250;747;4;0,54;3;1;-;4;4;28;1;1;-;-;-;-;-;-;-;-;517;-;-;125;-;-;3
"Total";2524219;1935224;103083;5,33;73873;22012;6667;135011;94908;231848;125678;10252;86798;11193;2407;2631;6107;27448;2046;10825;54828;9441;36313;610;798;95;10
 Fonte: MS/SVS/GT PCE
 Nota: As informações são apresentadas somente para as Unidades da Federação endêmicas nos períodos em que foram realizados inquéritos pelo PCE.
