PCE - Programa de Controle da Esquistossomose - Brasil
População trabalhadaExamesPositivos% Positividade1 a  4 ovos5 a 16 ovos17 ou mais ovosA tratarTratadosASC - Ascaris lumbricoidesANC - AncilostomídeosTAE - Taenia spTT - Trichuris trichiuraEV - Enterobius vermicularisSS - Strongyloides stercoralisHN - Hymenolepis nanaOUT - OutrosContra indicaçãoRecusaAusênciaCaramujos capturadosBiomphalaria glabrata capturadBiomphalaria straminea capturBiomphalaria tenagophila captBiomphalaria glabrata positivBiomphalaria straminea positivBiomphalaria tenagophila posit por Unidade da Federação
Período:2015
"Unidade da Federação";"População_trabalhada";"Exames";"Positivos";"%_Positividade";"1_a__4_ovos";"5_a_16_ovos";"17_ou_mais_ovos";"A_tratar";"Tratados";"ASC_-_Ascaris_lumbricoides";"ANC_-_Ancilostomídeos";"TAE_-_Taenia_sp";"TT_-_Trichuris_trichiura";"EV_-_Enterobius_vermicularis";"SS_-_Strongyloides_stercoralis";"HN_-_Hymenolepis_nana";"OUT_-_Outros";"Contra_indicação";"Recusa";"Ausência";"Caramujos_capturados";"Biomphalaria_glabrata_capturad";"Biomphalaria_straminea_captur";"Biomphalaria_tenagophila_capt";"Biomphalaria_glabrata_positiv";"Biomphalaria_straminea_positiv";"Biomphalaria_tenagophila_posit"
"15 Pará";2797;2189;15;0,69;15;-;-;212;15;49;415;1;17;14;-;-;-;197;-;-;-;-;-;-;-;-;-
"21 Maranhão";73338;64928;2128;3,28;1473;559;96;2176;1959;7859;6350;85;1574;384;18;8;-;93;2;84;459;208;251;-;2;-;-
"23 Ceará";28414;15727;118;0,75;113;5;-;118;110;1565;2591;27;173;23;50;27;-;8;-;-;-;-;-;-;-;-;-
"24 Rio Grande do Norte";12998;8553;154;1,80;135;16;3;154;151;341;144;3;333;4;-;-;-;1;-;2;-;-;-;-;-;-;-
"26 Pernambuco";338172;242445;7299;3,01;5437;1403;459;7471;4485;7261;1453;215;2845;162;31;26;258;190;2;2661;-;-;-;-;-;-;-
"27 Alagoas";237232;158806;7965;5,02;5948;1602;415;9006;5830;10264;10226;247;5499;344;12;204;52;328;3;2956;639;507;-;-;6;-;-
"31 Minas Gerais";249203;185281;3998;2,16;3095;688;215;7390;3582;4111;2285;188;616;1265;270;340;44;2291;44;1170;32;32;-;-;2;-;-
"32 Espírito Santo";40942;31240;757;2,42;588;139;30;760;575;318;546;31;145;131;6;8;47;168;1;18;-;-;-;-;-;-;-
"Total";983096;709169;22434;3,16;16804;4412;1218;27287;16707;31768;24010;797;11202;2327;387;613;401;3276;52;6891;1130;747;251;-;10;-;-
 Fonte: MS/SVS/GT PCE
 Nota: As informações são apresentadas somente para as Unidades da Federação endêmicas nos períodos em que foram realizados inquéritos pelo PCE.
