PCE - Programa de Controle da Esquistossomose - Brasil
População trabalhadaExamesPositivos% Positividade1 a  4 ovos5 a 16 ovos17 ou mais ovosA tratarTratadosASC - Ascaris lumbricoidesANC - AncilostomídeosTAE - Taenia spTT - Trichuris trichiuraEV - Enterobius vermicularisSS - Strongyloides stercoralisHN - Hymenolepis nanaOUT - OutrosContra indicaçãoRecusaAusênciaCaramujos capturadosBiomphalaria glabrata capturadBiomphalaria straminea capturBiomphalaria tenagophila captBiomphalaria glabrata positivBiomphalaria straminea positivBiomphalaria tenagophila posit por Unidade da Federação
Período:2006
"Unidade da Federação";"População_trabalhada";"Exames";"Positivos";"%_Positividade";"1_a__4_ovos";"5_a_16_ovos";"17_ou_mais_ovos";"A_tratar";"Tratados";"ASC_-_Ascaris_lumbricoides";"ANC_-_Ancilostomídeos";"TAE_-_Taenia_sp";"TT_-_Trichuris_trichiura";"EV_-_Enterobius_vermicularis";"SS_-_Strongyloides_stercoralis";"HN_-_Hymenolepis_nana";"OUT_-_Outros";"Contra_indicação";"Recusa";"Ausência";"Caramujos_capturados";"Biomphalaria_glabrata_capturad";"Biomphalaria_straminea_captur";"Biomphalaria_tenagophila_capt";"Biomphalaria_glabrata_positiv";"Biomphalaria_straminea_positiv";"Biomphalaria_tenagophila_posit"
"11 Rondônia";5675;5673;34;0,60;32;2;-;58;35;414;572;12;1;29;2;7;1265;4;19;-;-;-;-;-;-;-;-
"15 Pará";30526;24640;590;2,39;425;129;36;2532;571;3045;7665;115;2321;145;1;2;2;137;-;1824;2492;1770;428;-;33;-;-
"21 Maranhão";205749;187701;7772;4,14;5391;2098;282;7776;7343;48475;35888;1118;12720;3863;756;363;2910;251;4;176;-;-;-;-;-;-;-
"22 Piauí";6280;6276;6;0,10;6;-;-;116;6;41;103;3;4;12;-;17;-;110;-;-;48492;13;39311;-;-;55;-
"23 Ceará";104025;62907;282;0,45;243;28;11;417;277;6746;5393;128;2434;261;-;196;2;5;-;-;6073;-;5722;-;-;-;-
"24 Rio Grande do Norte";54485;45694;1690;3,70;1396;246;48;1690;1665;10716;2969;101;8997;17;-;-;2;24;-;1;4188;247;1080;-;-;-;-
"25 Paraíba";114249;100725;4752;4,72;3892;710;150;15375;10421;13584;23036;2002;7928;185;83;24;6;1529;139;1700;50;-;-;-;-;-;-
"26 Pernambuco";135933;101286;11698;11,55;7919;2684;1095;11931;8555;12882;741;221;5341;275;56;14;452;1473;20;1764;-;-;-;-;-;-;-
"27 Alagoas";327787;244360;21333;8,73;15372;4499;1462;22973;19753;55514;41232;1095;31369;520;72;1026;2;1281;36;2141;1117;252;-;5;25;-;-
"28 Sergipe";178464;141457;14066;9,94;9689;3482;895;19666;11250;32894;13820;1972;16922;1264;260;332;181;3069;758;3795;5367;4916;193;10;1028;4;10
"29 Bahia";620067;465929;23316;5,00;15955;4541;1190;27344;20683;53735;2486;1028;20940;596;52;207;3304;7811;68;1232;2657;-;-;-;-;-;-
"31 Minas Gerais";834418;643308;28278;4,40;19654;6184;2440;35138;27227;37019;19966;2147;7062;5741;362;1590;1856;6967;257;1270;-;-;-;-;-;-;-
"32 Espírito Santo";126105;98289;4182;4,25;3245;698;239;4310;3372;5119;4870;141;493;951;255;36;85;648;19;300;3350;1574;1015;203;33;5;-
"33 Rio de Janeiro";5484;4496;84;1,87;46;4;34;84;76;107;87;5;43;31;118;2;355;1;2;5;-;-;-;-;-;-;-
"41 Paraná";24691;16717;258;1,54;158;70;30;272;254;287;131;33;392;111;5;45;700;28;-;-;1848;-;86;3;-;-;-
"42 Santa Catarina";2708;1610;3;0,19;2;1;-;3;3;16;-;1;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-
"52 Goiás";1199;748;11;1,47;9;2;-;11;11;2;1;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";2777845;2151816;118355;5,50;83434;25378;7912;149696;111502;280596;158960;10122;116967;14005;2022;3861;11129;23338;1322;14208;75634;8772;47835;221;1119;64;10
 Fonte: MS/SVS/GT PCE
 Nota: As informações são apresentadas somente para as Unidades da Federação endêmicas nos períodos em que foram realizados inquéritos pelo PCE.
