PCE - Programa de Controle da Esquistossomose - Brasil
População trabalhadaExamesPositivos% Positividade1 a  4 ovos5 a 16 ovos17 ou mais ovosA tratarTratadosASC - Ascaris lumbricoidesANC - AncilostomídeosTAE - Taenia spTT - Trichuris trichiuraEV - Enterobius vermicularisSS - Strongyloides stercoralisHN - Hymenolepis nanaOUT - OutrosContra indicaçãoRecusaAusênciaCaramujos capturadosBiomphalaria glabrata capturadBiomphalaria straminea capturBiomphalaria tenagophila captBiomphalaria glabrata positivBiomphalaria straminea positivBiomphalaria tenagophila posit por Unidade da Federação
Período:2008
"Unidade da Federação";"População_trabalhada";"Exames";"Positivos";"%_Positividade";"1_a__4_ovos";"5_a_16_ovos";"17_ou_mais_ovos";"A_tratar";"Tratados";"ASC_-_Ascaris_lumbricoides";"ANC_-_Ancilostomídeos";"TAE_-_Taenia_sp";"TT_-_Trichuris_trichiura";"EV_-_Enterobius_vermicularis";"SS_-_Strongyloides_stercoralis";"HN_-_Hymenolepis_nana";"OUT_-_Outros";"Contra_indicação";"Recusa";"Ausência";"Caramujos_capturados";"Biomphalaria_glabrata_capturad";"Biomphalaria_straminea_captur";"Biomphalaria_tenagophila_capt";"Biomphalaria_glabrata_positiv";"Biomphalaria_straminea_positiv";"Biomphalaria_tenagophila_posit"
"11 Rondônia";447;447;-;-;-;-;-;-;-;56;16;-;1;-;1;-;55;-;-;-;-;-;-;-;-;-;-
"15 Pará";39792;22578;467;2,07;320;110;37;467;466;3559;3074;18;3079;45;-;-;1;1;-;-;210;29;64;-;-;-;-
"21 Maranhão";103558;90640;3904;4,31;2811;1005;88;3904;3817;21421;22359;603;4578;1712;1064;63;1312;40;22;29;3956;1559;2397;-;20;-;-
"22 Piauí";5426;5426;2;0,04;2;-;-;2;2;27;21;2;5;5;1;9;1;-;-;-;42012;96;36793;-;-;-;-
"23 Ceará";82178;47684;183;0,38;161;18;4;801;242;2760;3955;73;1179;155;-;150;8;558;-;1;3055;-;1121;-;-;-;-
"24 Rio Grande do Norte";55512;43807;1405;3,21;1233;148;24;1405;1338;7616;1617;124;6407;49;1;-;24;46;1;20;1415;370;545;-;9;-;-
"25 Paraíba";61274;53135;3626;6,82;2883;574;169;10126;7431;6527;9950;1525;2880;187;36;23;8;1241;235;1258;14;-;-;-;-;-;-
"26 Pernambuco";119473;88987;8850;9,95;5675;2224;951;9137;6933;9151;702;136;1550;18;12;16;1031;742;43;1148;105;-;48;-;-;-;-
"27 Alagoas";266159;193808;16203;8,36;11454;3589;1160;16612;13997;37519;29102;841;15249;633;57;566;32;945;28;1743;1576;984;13;-;8;-;-
"28 Sergipe";105168;79858;8258;10,34;5859;1845;554;8263;6406;17093;4868;802;10628;241;67;147;63;420;8;1432;3874;3642;126;-;136;-;-
"29 Bahia";386349;293567;10134;3,45;7719;1894;504;14992;9122;19621;683;286;6464;193;16;38;1189;5574;44;442;529;-;-;-;-;-;-
"31 Minas Gerais";543731;411557;19445;4,72;13078;4315;2052;20786;17692;18081;10793;917;2880;3041;90;825;685;2985;98;782;-;-;-;-;-;-;-
"32 Espírito Santo";111569;86782;2787;3,21;2038;649;100;3615;2057;3278;3812;151;278;1063;60;61;160;994;21;548;887;533;33;160;-;-;-
"33 Rio de Janeiro";291;187;2;1,07;2;-;-;2;2;4;14;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-
"41 Paraná";16065;10503;225;2,14;158;52;15;225;219;225;36;12;195;44;-;2;111;6;-;-;7103;908;283;69;-;-;-
"42 Santa Catarina";2634;1539;2;0,13;1;1;-;2;2;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";1899626;1430505;75493;5,28;53394;16424;5658;90339;69726;146971;91002;5490;55373;7386;1405;1900;4695;13552;500;7403;64736;8121;41423;229;173;-;-
 Fonte: MS/SVS/GT PCE
 Nota: As informações são apresentadas somente para as Unidades da Federação endêmicas nos períodos em que foram realizados inquéritos pelo PCE.
