PCE - Programa de Controle da Esquistossomose - Brasil
População trabalhadaExamesPositivos% Positividade1 a  4 ovos5 a 16 ovos17 ou mais ovosA tratarTratadosASC - Ascaris lumbricoidesANC - AncilostomídeosTAE - Taenia spTT - Trichuris trichiuraEV - Enterobius vermicularisSS - Strongyloides stercoralisHN - Hymenolepis nanaOUT - OutrosContra indicaçãoRecusaAusênciaCaramujos capturadosBiomphalaria glabrata capturadBiomphalaria straminea capturBiomphalaria tenagophila captBiomphalaria glabrata positivBiomphalaria straminea positivBiomphalaria tenagophila posit por Unidade da Federação
Período:2013
"Unidade da Federação";"População_trabalhada";"Exames";"Positivos";"%_Positividade";"1_a__4_ovos";"5_a_16_ovos";"17_ou_mais_ovos";"A_tratar";"Tratados";"ASC_-_Ascaris_lumbricoides";"ANC_-_Ancilostomídeos";"TAE_-_Taenia_sp";"TT_-_Trichuris_trichiura";"EV_-_Enterobius_vermicularis";"SS_-_Strongyloides_stercoralis";"HN_-_Hymenolepis_nana";"OUT_-_Outros";"Contra_indicação";"Recusa";"Ausência";"Caramujos_capturados";"Biomphalaria_glabrata_capturad";"Biomphalaria_straminea_captur";"Biomphalaria_tenagophila_capt";"Biomphalaria_glabrata_positiv";"Biomphalaria_straminea_positiv";"Biomphalaria_tenagophila_posit"
"15 Pará";376;241;28;11,62;23;3;2;28;28;2;22;-;9;-;-;-;-;-;-;-;435;335;11;-;9;-;-
"21 Maranhão";94244;80674;2857;3,54;2144;647;66;2888;2568;10759;12711;120;2983;364;682;20;62;603;1;150;589;441;148;-;8;-;-
"23 Ceará";43880;26091;53;0,20;49;4;-;53;48;946;1413;24;386;52;4;34;-;3;-;2;-;-;-;-;-;-;-
"24 Rio Grande do Norte";48442;34684;612;1,76;536;58;18;612;567;2196;2606;23;2835;11;-;2;-;41;-;4;307;8;91;-;-;-;-
"25 Paraíba";32049;25694;2020;7,86;1489;406;125;2086;1196;1763;5211;459;1060;35;29;4;1;363;3;558;-;-;-;-;-;-;-
"26 Pernambuco";172903;120171;6509;5,42;4659;1425;425;6527;5197;5319;1415;292;2260;108;56;71;568;244;13;1738;-;-;-;-;-;-;-
"27 Alagoas";261205;174090;12652;7,27;9061;2819;772;12662;8794;14075;14857;351;10244;541;18;362;47;287;24;3553;423;161;-;-;-;-;-
"28 Sergipe";73642;49886;3308;6,63;2213;768;327;3308;2303;3207;1671;133;2711;81;5;29;20;364;3;638;1724;1622;-;-;-;-;-
"29 Bahia";85673;61592;1739;2,82;1316;293;122;4517;1425;1724;114;43;916;25;11;101;4;2687;1;406;400;-;-;-;-;-;-
"31 Minas Gerais";251689;186582;6444;3,45;4691;1295;458;7749;5523;4301;3677;216;1082;1330;116;169;752;1058;15;1029;35;13;-;-;-;-;-
"32 Espírito Santo";51202;38863;816;2,10;648;132;36;822;667;439;880;46;94;162;4;6;19;128;7;20;43;43;-;-;-;-;-
"Total";1115305;798568;37038;4,64;26829;7850;2351;41252;28316;44731;44577;1707;24580;2709;925;798;1473;5778;67;8098;3956;2623;250;-;17;-;-
 Fonte: MS/SVS/GT PCE
 Nota: As informações são apresentadas somente para as Unidades da Federação endêmicas nos períodos em que foram realizados inquéritos pelo PCE.
